,capital_expense_f_year,capital_expense_t_period,classification,currency_unit,end_date,f_earning_before_tax,items_name,number,period_mark,sale_in_dome_mark_inco_f_year,sale_in_dome_mark_inco_t_peri,secu_abbr,secu_code,subse_perfo_this_period,subse_perfor_former_year,subsection_asset_at_begi,subsection_asset_at_end,subsection_income_f_year,subsection_income_f_year %,subsection_income_t_period,subsection_income_t_period %,subsection_owes_at_begi,subsection_owes_at_end,t_earning_before_tax
0,811000000.0000,726000000.0000,按业务,港元,2020-06-30,,港口及相关服务,1,半年度,,,长和,00001,,,95087000000.0000,92844000000.0000,13401000000.0,0.09078038206205122,12268000000.0,0.09841878524841358,33398000000.0000,33033000000.0000,
1,954000000.0000,628000000.0000,按业务,港元,2020-06-30,,零售,2,半年度,,,长和,00001,,,215357000000.0000,213491000000.0000,65784000000.0,0.4456306733504945,56156000000.0,0.45050581222773983,48523000000.0000,47814000000.0000,
2,3695000000.0000,113000000.0000,按业务,港元,2020-06-30,,基建,3,半年度,,,长和,00001,,,230100000000.0000,231689000000.0000,9974000000.0,0.06756537054599648,3278000000.0,0.026297422403350153,38777000000.0000,43135000000.0000,
3,0,0,按业务,港元,2020-06-30,,赫斯基能源,4,半年度,,,长和,00001,,,61706000000.0000,55057000000.0000,0.0,0.0,0.0,0.0,0,0,
4,7365000000.0000,6650000000.0000,按业务,港元,2020-06-30,,欧洲3集团,5,半年度,,,长和,00001,,,321998000000.0000,321705000000.0000,43459000000.0,0.2943977780788511,40519000000.0,0.32505956630913513,61300000000.0000,55997000000.0000,
5,154000000.0000,307000000.0000,按业务,港元,2020-06-30,,和记电讯香港控股,6,半年度,,,长和,00001,,,15848000000.0000,16038000000.0000,2515000000.0,0.017036986858149302,1982000000.0,0.01590039389976815,2060000000.0000,2278000000.0000,
6,2000000.0000,7000000.0000,按业务,港元,2020-06-30,,企业及其他,7,半年度,,,长和,00001,,,15544000000.0000,17240000000.0000,157000000.0,0.0010635415255385449,133000000.0,0.0010669790053830293,82604000000.0000,83066000000.0000,
7,1131000000.0000,1787000000.0000,按业务,港元,2020-06-30,,和记电讯亚洲,8,半年度,,,长和,00001,,,15782000000.0000,16236000000.0000,4325000000.0,0.029298198076141445,4521000000.0,0.036269263784486284,25547000000.0000,25483000000.0000,
8,156000000.0000,58000000.0000,按业务,港元,2020-06-30,,财务及投资与其他,9,半年度,,,长和,00001,,,165015000000.0000,171509000000.0000,8005000000.0,0.0542270695027774,5794000000.0,0.046481777121723855,231278000000.0000,231370000000.0000,
9,14268000000.0000,10276000000.0000,按业务,港元,2020-06-30,,小计,10,半年度,,,长和,00001,,,1136437000000.0000,1135809000000.0000,147620000000.0,1.0,124651000000.0,1.0,523487000000.0000,522176000000.0000,
10,0,-14000000.0000,按业务,港元,2020-06-30,,未分配,11,半年度,,,长和,00001,,,74539000000.0000,69987000000.0000,0.0,0.0,0.0,0.0,90526000000.0000,86020000000.0000,
11,14268000000.0000,10262000000.0000,按业务,港元,2020-06-30,,合计,12,半年度,,,长和,00001,,,1210976000000.0000,1205796000000.0000,147620000000.0,1.0,124651000000.0,1.0,614013000000.0000,608196000000.0000,
12,,,按业务,港元,2020-06-30,4468000000.0000,物业租赁,1,半年度,,,恒隆地产,00101,,,189648000000.0000,183454000000.0000,4204000000.0,1.0,4184000000.0,1.0,,,-1924000000.0000
13,,,按业务,港元,2020-06-30,0,物业销售,2,半年度,,,恒隆地产,00101,,,5643000000.0000,6347000000.0000,0.0,0.0,0.0,0.0,,,-4000000.0000
14,,,按业务,港元,2020-06-30,4468000000.0000,小计,3,半年度,,,恒隆地产,00101,,,195291000000.0000,189801000000.0000,4204000000.0,1.0,4184000000.0,1.0,,,-1928000000.0000
15,,,按业务,港元,2020-06-30,0,未分配,4,半年度,,,恒隆地产,00101,,,4689000000.0000,4518000000.0000,0.0,0.0,0.0,0.0,,,0
16,,,按业务,港元,2020-06-30,4468000000.0000,合计,5,半年度,,,恒隆地产,00101,,,199980000000.0000,194319000000.0000,4204000000.0,1.0,4184000000.0,1.0,,,-1928000000.0000
17,,,按业务,人民币元,2020-09-30,,成药,1,其他,0,0,石药集团,01093,3530384000.0000,2927360000.0000,,,13387380000.0,0.7987328031509762,15712874000.0,0.8177309301749609,,,
18,,,按业务,人民币元,2020-09-30,,维生素C原料,2,其他,4403000.0000,4355000.0000,石药集团,01093,296870000.0000,357654000.0000,,,1595692000.0,0.09520395657145667,1438454000.0,0.07486016418345194,,,
19,,,按业务,人民币元,2020-09-30,,抗生素原料,3,其他,73302000.0000,102930000.0000,石药集团,01093,101434000.0000,14954000.0000,,,715060000.0,0.04266270758140406,762075000.0,0.039659981911207544,,,
